participant_id	gender	age	group
sub-001	M	24	novice
sub-002	M	24	novice
sub-003	F	23	novice
sub-004	F	23	novice
sub-005	F	22	novice
sub-006	F	22	novice
sub-007	F	24	novice
sub-008	M	23	novice
sub-009	F	23	novice
sub-010	F	22	novice
sub-011	F	22	novice
sub-012	M	24	novice
sub-013	M	23	novice
sub-014	F	23	novice
sub-015	M	22	novice
sub-016	F	21	novice
sub-017	M	21	novice
sub-018	M	21	novice
sub-019	M	23	novice
sub-020	F	23	novice
sub-021	M	20	novice
sub-022	M	21	novice
sub-023	M	23	novice
sub-024	F	22	novice
sub-025	M	24	novice
