subject,protocol,method,train_sessions,test_session,n_train,n_test,accuracy,balanced_accuracy,macro_f1,kappa
sub-001,within_session_5fold,CSP-LDA,ses-01,ses-01,100,100,0.55,0.55,0.54995499549955,0.09999999999999998
sub-001,within_session_5fold,CSP-LDA,ses-02,ses-02,100,100,0.48,0.48,0.4781212364512244,-0.040000000000000036
sub-001,within_session_5fold,CSP-LDA,ses-03,ses-03,99,99,0.5858585858585859,0.5859183673469388,0.5858585858585859,0.17180167312793304
sub-001,within_session_5fold,CSP-LDA,ses-04,ses-04,99,99,0.6060606060606061,0.6059183673469388,0.6058997652342554,0.2118799755052051
sub-001,within_session_5fold,CSP-LDA,ses-05,ses-05,94,94,0.5212765957446809,0.5217391304347826,0.5212224108658743,0.04341926729986434
sub-001,cross_session_train_1-4_test_5,CSP-LDA,"ses-01,ses-02,ses-03,ses-04",ses-05,398,94,0.5106382978723404,0.5108695652173914,0.5106382978723404,0.021719457013574694
sub-001,within_session_5fold,FBCSP-LDA,ses-01,ses-01,100,100,0.66,0.6599999999999999,0.6594551282051282,0.31999999999999995
sub-001,within_session_5fold,FBCSP-LDA,ses-02,ses-02,100,100,0.5,0.5,0.5,0.0
sub-001,within_session_5fold,FBCSP-LDA,ses-03,ses-03,99,99,0.6161616161616161,0.6161224489795918,0.6161224489795918,0.23224489795918368
sub-001,within_session_5fold,FBCSP-LDA,ses-04,ses-04,99,99,0.6464646464646465,0.646734693877551,0.6463203021333062,0.2932898225576178
sub-001,within_session_5fold,FBCSP-LDA,ses-05,ses-05,94,94,0.6914893617021277,0.6906702898550725,0.6906140052207468,0.38185941043083904
sub-001,cross_session_train_1-4_test_5,FBCSP-LDA,"ses-01,ses-02,ses-03,ses-04",ses-05,398,94,0.5212765957446809,0.5240036231884058,0.5146299483648881,0.047726249437190504
sub-002,within_session_5fold,CSP-LDA,ses-01,ses-01,92,92,0.7608695652173914,0.7608695652173914,0.7607565011820331,0.5217391304347826
sub-002,within_session_5fold,CSP-LDA,ses-02,ses-02,95,95,0.5473684210526316,0.5460992907801419,0.5400292759824343,0.0924239057987114
sub-002,within_session_5fold,CSP-LDA,ses-03,ses-03,100,100,0.48,0.4757125652348454,0.4747474747474747,-0.04881000403388458
sub-002,within_session_5fold,CSP-LDA,ses-04,ses-04,100,100,0.88,0.88,0.8799519807923168,0.76
sub-002,within_session_5fold,CSP-LDA,ses-05,ses-05,95,95,0.7473684210526316,0.7464507542147294,0.7466666666666666,0.4935584184806753
sub-002,cross_session_train_1-4_test_5,CSP-LDA,"ses-01,ses-02,ses-03,ses-04",ses-05,387,95,0.49473684210526314,0.5102040816326531,0.3485714285714286,0.019776440240756754
sub-002,within_session_5fold,FBCSP-LDA,ses-01,ses-01,92,92,0.8260869565217391,0.8260869565217391,0.825344091124822,0.6521739130434783
sub-002,within_session_5fold,FBCSP-LDA,ses-02,ses-02,95,95,0.7052631578947368,0.7043439716312057,0.7025939177101967,0.4094138543516874
sub-002,within_session_5fold,FBCSP-LDA,ses-03,ses-03,100,100,0.57,0.5654355680449619,0.5647332725984411,0.13166397415185793
sub-002,within_session_5fold,FBCSP-LDA,ses-04,ses-04,100,100,0.76,0.76,0.7599039615846338,0.52
sub-002,within_session_5fold,FBCSP-LDA,ses-05,ses-05,95,95,0.7368421052631579,0.7375776397515528,0.7368421052631579,0.4742085454947974
sub-002,cross_session_train_1-4_test_5,FBCSP-LDA,"ses-01,ses-02,ses-03,ses-04",ses-05,387,95,0.5263157894736842,0.5108695652173914,0.3639339384020235,0.022410244683283675
sub-003,within_session_5fold,CSP-LDA,ses-01,ses-01,92,92,0.4782608695652174,0.47632575757575757,0.4760322733744661,-0.04743833017077792
sub-003,within_session_5fold,CSP-LDA,ses-02,ses-02,100,100,0.35,0.35,0.34941447302572315,-0.30000000000000004
sub-003,within_session_5fold,CSP-LDA,ses-03,ses-03,92,92,0.45652173913043476,0.4553191489361702,0.4542002847650688,-0.08953102794883949
sub-003,within_session_5fold,CSP-LDA,ses-04,ses-04,100,100,0.46,0.45999999999999996,0.45978391356542614,-0.08000000000000007
sub-003,within_session_5fold,CSP-LDA,ses-05,ses-05,100,100,0.64,0.64,0.64,0.28
sub-003,cross_session_train_1-4_test_5,CSP-LDA,"ses-01,ses-02,ses-03,ses-04",ses-05,384,100,0.6,0.6,0.5894909688013137,0.19999999999999996
sub-003,within_session_5fold,FBCSP-LDA,ses-01,ses-01,92,92,0.5,0.5,0.4997635933806146,0.0
sub-003,within_session_5fold,FBCSP-LDA,ses-02,ses-02,100,100,0.61,0.61,0.60996099609961,0.21999999999999997
sub-003,within_session_5fold,FBCSP-LDA,ses-03,ses-03,92,92,0.5652173913043478,0.5640661938534279,0.5633602278120551,0.12837517764092843
sub-003,within_session_5fold,FBCSP-LDA,ses-04,ses-04,100,100,0.62,0.62,0.62,0.24
sub-003,within_session_5fold,FBCSP-LDA,ses-05,ses-05,100,100,0.65,0.6499999999999999,0.6491228070175439,0.30000000000000004
sub-003,cross_session_train_1-4_test_5,FBCSP-LDA,"ses-01,ses-02,ses-03,ses-04",ses-05,384,100,0.5,0.5,0.37996031746031744,0.0
sub-004,within_session_5fold,CSP-LDA,ses-01,ses-01,87,87,0.5287356321839081,0.5282769556025371,0.5277373229180458,0.0565987833906374
sub-004,within_session_5fold,CSP-LDA,ses-02,ses-02,97,97,0.4742268041237113,0.47406462585034015,0.4740031897926635,-0.05188177758877299
sub-004,within_session_5fold,CSP-LDA,ses-03,ses-03,91,91,0.45054945054945056,0.4476744186046512,0.44727891156462585,-0.10490529383195724
sub-004,within_session_5fold,CSP-LDA,ses-04,ses-04,100,100,0.49,0.49,0.48994899489948995,-0.020000000000000018
sub-004,within_session_5fold,CSP-LDA,ses-05,ses-05,100,100,0.62,0.62,0.62,0.24
sub-004,cross_session_train_1-4_test_5,CSP-LDA,"ses-01,ses-02,ses-03,ses-04",ses-05,375,100,0.57,0.57,0.5601023017902813,0.14
