subject,protocol,method,alignment,train_sessions,test_session,n_train,n_test,accuracy,balanced_accuracy,macro_f1,kappa
sub-001,cross_session_train_1-4_test_5,EA+CSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,398,94,0.6276595744680851,0.6268115942028986,0.6266031097491772,0.25396825396825395
sub-002,cross_session_train_1-4_test_5,EA+CSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,387,95,0.7368421052631579,0.7349157054125999,0.7349626157794888,0.4713999554863121
sub-003,cross_session_train_1-4_test_5,EA+CSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,384,100,0.52,0.52,0.49558638083228246,0.040000000000000036
sub-004,cross_session_train_1-4_test_5,EA+CSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,375,100,0.55,0.55,0.5331465919701214,0.09999999999999998
sub-005,cross_session_train_1-4_test_5,EA+CSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,386,89,0.449438202247191,0.4598078867542973,0.39806763285024155,-0.07865446450655433
sub-006,cross_session_train_1-4_test_5,EA+CSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,374,95,0.5684210526315789,0.5636645962732919,0.5558216444292394,0.12844036697247707
sub-007,cross_session_train_1-4_test_5,EA+CSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,388,100,0.68,0.6799999999999999,0.6715927750410509,0.36
sub-008,cross_session_train_1-4_test_5,EA+CSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,379,100,0.41,0.41000000000000003,0.40518197398931344,-0.17999999999999994
sub-009,cross_session_train_1-4_test_5,EA+CSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,394,99,0.5353535353535354,0.5320408163265307,0.4772727272727273,0.0645028759244044
sub-010,cross_session_train_1-4_test_5,EA+CSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,383,97,0.4845360824742268,0.48469387755102045,0.4844812925170068,-0.03059923501912465
sub-011,cross_session_train_1-4_test_5,EA+CSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,394,100,0.5,0.5,0.46943972835314096,0.0
sub-012,cross_session_train_1-4_test_5,EA+CSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,375,83,0.5421686746987951,0.5632387706855791,0.5388888888888889,0.11948632049134567
sub-013,cross_session_train_1-4_test_5,EA+CSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,389,100,0.66,0.66,0.6550324675324675,0.31999999999999995
sub-014,cross_session_train_1-4_test_5,EA+CSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,379,100,0.46,0.45999999999999996,0.44581280788177335,-0.08000000000000007
sub-015,cross_session_train_1-4_test_5,EA+CSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,375,98,0.5,0.49125,0.38078658929722764,-0.017804154302670794
sub-016,cross_session_train_1-4_test_5,EA+CSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,395,91,0.5604395604395604,0.562137330754352,0.5599613152804642,0.12373615792007708
sub-017,cross_session_train_1-4_test_5,EA+CSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,398,95,0.49473684210526314,0.4955673758865249,0.4919786096256684,-0.008849557522123908
sub-018,cross_session_train_1-4_test_5,EA+CSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,394,100,0.74,0.74,0.7390606182256123,0.48
sub-019,cross_session_train_1-4_test_5,EA+CSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,376,93,0.44086021505376344,0.43807977736549164,0.43767441860465117,-0.12412831241283118
sub-020,cross_session_train_1-4_test_5,EA+CSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,389,100,0.75,0.75,0.7333333333333334,0.5
sub-021,cross_session_train_1-4_test_5,EA+CSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,386,96,0.7708333333333334,0.7724706904038211,0.7699346405228757,0.5430549545651233
sub-022,cross_session_train_1-4_test_5,EA+CSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,387,93,0.4838709677419355,0.48541666666666666,0.48333333333333334,-0.029045643153526868
sub-023,cross_session_train_1-4_test_5,EA+CSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,389,97,0.5773195876288659,0.5763180272108843,0.572779031045225,0.1529286474973376
sub-024,cross_session_train_1-4_test_5,EA+CSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,337,100,0.42,0.42,0.4005787515502274,-0.15999999999999992
sub-025,cross_session_train_1-4_test_5,EA+CSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,362,100,0.45,0.44999999999999996,0.41333333333333333,-0.10000000000000009
