subject,protocol,method,alignment,seed,epochs_ran,best_epoch,best_val_balanced_accuracy,train_sessions,val_strategy,test_session,n_train,n_val,n_test,accuracy,balanced_accuracy,macro_f1,kappa,train_seconds
sub-001,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,3407,18,8,0.675,"1,2,3,4",stratified_train_split_0.20,5,318,80,94,0.5,0.5013586956521738,0.49858131880603795,0.0027088036117380865,1.7356452941894531
sub-002,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,3407,26,16,0.8078947368421052,"1,2,3,4",stratified_train_split_0.20,5,309,78,95,0.7263157894736842,0.7300354924578527,0.7238372093023255,0.45642605633802813,1.599604606628418
sub-003,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,3407,20,10,0.6366396761133604,"1,2,3,4",stratified_train_split_0.20,5,307,77,100,0.6,0.6,0.5755517826825127,0.19999999999999996,1.2967774868011475
sub-004,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,3407,15,5,0.6132478632478633,"1,2,3,4",stratified_train_split_0.20,5,300,75,100,0.5,0.5,0.37996031746031744,0.0,0.9318592548370361
sub-005,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,3407,20,10,0.6282051282051282,"1,2,3,4",stratified_train_split_0.20,5,308,78,89,0.48314606741573035,0.4840748230535895,0.4830808080808081,-0.0317540322580645,1.2256722450256348
sub-006,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,3407,34,24,0.9604700854700854,"1,2,3,4",stratified_train_split_0.20,5,299,75,95,0.5368421052631579,0.5370452528837621,0.5367907801418439,0.07399202481169687,1.9333789348602295
sub-007,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,3407,24,14,0.6538461538461539,"1,2,3,4",stratified_train_split_0.20,5,310,78,100,0.64,0.64,0.6347402597402598,0.28,1.3686556816101074
sub-008,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,3407,12,2,0.5657894736842105,"1,2,3,4",stratified_train_split_0.20,5,303,76,100,0.51,0.51,0.4415954415954416,0.020000000000000018,0.7851402759552002
sub-009,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,3407,47,37,0.6439102564102563,"1,2,3,4",stratified_train_split_0.20,5,315,79,99,0.42424242424242425,0.423469387755102,0.42045804662627095,-0.1532801961986512,2.690398693084717
sub-010,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,3407,12,2,0.5954790823211876,"1,2,3,4",stratified_train_split_0.20,5,306,77,97,0.4845360824742268,0.48511904761904756,0.4831628303495311,-0.02972399150743099,0.8510611057281494
sub-011,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,3407,19,9,0.6195512820512821,"1,2,3,4",stratified_train_split_0.20,5,315,79,100,0.52,0.52,0.5169082125603865,0.040000000000000036,0.9552648067474365
sub-012,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,3407,50,43,0.6390469416785206,"1,2,3,4",stratified_train_split_0.20,5,300,75,83,0.5783132530120482,0.5821513002364067,0.5773315873708715,0.1606472117885004,2.61360502243042
sub-013,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,3407,21,11,0.7322368421052632,"1,2,3,4",stratified_train_split_0.20,5,311,78,100,0.67,0.67,0.66996699669967,0.33999999999999997,1.2379846572875977
sub-014,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,3407,50,40,0.6340956340956341,"1,2,3,4",stratified_train_split_0.20,5,303,76,100,0.55,0.55,0.5488721804511278,0.09999999999999998,2.538247585296631
sub-015,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,3407,20,10,0.732905982905983,"1,2,3,4",stratified_train_split_0.20,5,300,75,98,0.5612244897959183,0.5625,0.5600793402234053,0.12463647694225177,1.060283899307251
sub-016,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,3407,33,23,0.5961538461538461,"1,2,3,4",stratified_train_split_0.20,5,316,79,91,0.5494505494505495,0.5558510638297872,0.5350778816199376,0.11018363939899845,1.955817699432373
sub-017,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,3407,11,1,0.5375,"1,2,3,4",stratified_train_split_0.20,5,318,80,95,0.4421052631578947,0.4434840425531915,0.43305934016439585,-0.11270718232044197,0.5803625583648682
sub-018,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,3407,15,5,0.6342948717948718,"1,2,3,4",stratified_train_split_0.20,5,315,79,100,0.47,0.47,0.43466666666666665,-0.06000000000000005,0.8418488502502441
sub-019,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,3407,15,5,0.6447368421052632,"1,2,3,4",stratified_train_split_0.20,5,300,76,93,0.6451612903225806,0.6493506493506493,0.6445036487895286,0.2956162497131054,0.7842226028442383
sub-020,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,3407,29,19,0.782051282051282,"1,2,3,4",stratified_train_split_0.20,5,311,78,100,0.85,0.8500000000000001,0.849624060150376,0.7,1.5595152378082275
sub-021,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,3407,25,15,0.8348684210526316,"1,2,3,4",stratified_train_split_0.20,5,308,78,96,0.7604166666666666,0.7613981762917933,0.7601824698598891,0.5216637781629117,1.4295716285705566
sub-022,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,3407,33,23,0.7564102564102564,"1,2,3,4",stratified_train_split_0.20,5,309,78,93,0.6129032258064516,0.6138888888888889,0.6128584643848289,0.22714681440443207,1.800842523574829
sub-023,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,3407,25,15,0.8335526315789473,"1,2,3,4",stratified_train_split_0.20,5,311,78,97,0.6391752577319587,0.6400935374149659,0.6367041198501873,0.2796520263102058,1.3571076393127441
sub-024,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,3407,11,1,0.6029411764705883,"1,2,3,4",stratified_train_split_0.20,5,269,68,100,0.52,0.52,0.47916666666666663,0.040000000000000036,0.6674239635467529
sub-025,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,3407,16,6,0.6433933933933934,"1,2,3,4",stratified_train_split_0.20,5,289,73,100,0.57,0.5700000000000001,0.557203171661003,0.14,0.9781880378723145
