subject,protocol,method,alignment,train_sessions,test_session,n_train,n_test,accuracy,balanced_accuracy,macro_f1,kappa
sub-001,cross_session_train_1-4_test_5,EA+FBCSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,398,94,0.5638297872340425,0.5602355072463768,0.549081549081549,0.1212950296397628
sub-002,cross_session_train_1-4_test_5,EA+FBCSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,387,95,0.5894736842105263,0.5800798580301686,0.544,0.16309012875536466
sub-003,cross_session_train_1-4_test_5,EA+FBCSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,384,100,0.5,0.5,0.3333333333333333,0.0
sub-004,cross_session_train_1-4_test_5,EA+FBCSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,375,100,0.56,0.5599999999999999,0.5280995280995281,0.12
sub-005,cross_session_train_1-4_test_5,EA+FBCSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,386,89,0.3707865168539326,0.37917087967644086,0.3336898395721925,-0.23733862959285013
sub-006,cross_session_train_1-4_test_5,EA+FBCSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,374,95,0.5894736842105263,0.5960514640638864,0.5741868750718309,0.1894552614307592
sub-007,cross_session_train_1-4_test_5,EA+FBCSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,388,100,0.5,0.5,0.37996031746031744,0.0
sub-008,cross_session_train_1-4_test_5,EA+FBCSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,379,100,0.49,0.49,0.3453985367731998,-0.020000000000000018
sub-009,cross_session_train_1-4_test_5,EA+FBCSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,394,99,0.41414141414141414,0.41612244897959183,0.3917372881355932,-0.16707317073170724
sub-010,cross_session_train_1-4_test_5,EA+FBCSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,383,97,0.5567010309278351,0.5588860544217688,0.537018537018537,0.11724867724867727
sub-011,cross_session_train_1-4_test_5,EA+FBCSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,394,100,0.57,0.5700000000000001,0.5305164319248826,0.14
sub-012,cross_session_train_1-4_test_5,EA+FBCSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,375,83,0.4578313253012048,0.46601654846335694,0.4578313253012048,-0.06562054208273893
sub-013,cross_session_train_1-4_test_5,EA+FBCSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,389,100,0.64,0.64,0.625,0.28
sub-014,cross_session_train_1-4_test_5,EA+FBCSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,379,100,0.49,0.49,0.3288590604026846,-0.020000000000000018
sub-015,cross_session_train_1-4_test_5,EA+FBCSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,375,98,0.5,0.49041666666666667,0.3506423258958756,-0.019532908704883223
sub-016,cross_session_train_1-4_test_5,EA+FBCSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,395,91,0.4835164835164835,0.49782398452611215,0.37443323094924674,-0.004226344212256539
sub-017,cross_session_train_1-4_test_5,EA+FBCSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,398,95,0.5157894736842106,0.5168439716312057,0.5114042933810375,0.03361344537815125
sub-018,cross_session_train_1-4_test_5,EA+FBCSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,394,100,0.62,0.62,0.6175523349436394,0.24
sub-019,cross_session_train_1-4_test_5,EA+FBCSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,376,93,0.5591397849462365,0.5572820037105751,0.557297109021247,0.1146970048757836
sub-020,cross_session_train_1-4_test_5,EA+FBCSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,389,100,0.5,0.5,0.3333333333333333,0.0
sub-021,cross_session_train_1-4_test_5,EA+FBCSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,386,96,0.5729166666666666,0.5642640034737298,0.4776376907763769,0.1307420494699647
sub-022,cross_session_train_1-4_test_5,EA+FBCSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,387,93,0.5268817204301075,0.5111111111111111,0.36459627329192545,0.022922636103151817
sub-023,cross_session_train_1-4_test_5,EA+FBCSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,389,97,0.5463917525773195,0.5423044217687075,0.4589249492900609,0.08529789969995727
sub-024,cross_session_train_1-4_test_5,EA+FBCSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,337,100,0.48,0.48,0.45355191256830596,-0.040000000000000036
sub-025,cross_session_train_1-4_test_5,EA+FBCSP-LDA,euclidean_alignment_unsupervised_target,"1,2,3,4",5,362,100,0.53,0.53,0.4800309768779732,0.06000000000000005
