subject,protocol,method,lambda_stability,train_sessions,test_session,n_train,n_test,accuracy,balanced_accuracy,macro_f1,kappa
sub-001,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,398,94,0.6276595744680851,0.6213768115942029,0.5884928080050031,0.24575882622650147
sub-001,cross_session_train_1-4_test_5,FBCSP-discriminative-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,398,94,0.5319148936170213,0.5217391304347826,0.38452380952380955,0.044362292051756014
sub-001,cross_session_train_1-4_test_5,Stable-FBCSP,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,398,94,0.5319148936170213,0.5217391304347826,0.38452380952380955,0.044362292051756014
sub-002,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,387,95,0.5157894736842106,0.5,0.3402777777777778,0.0
sub-002,cross_session_train_1-4_test_5,FBCSP-discriminative-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,387,95,0.5263157894736842,0.5108695652173914,0.3639339384020235,0.022410244683283675
sub-002,cross_session_train_1-4_test_5,Stable-FBCSP,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,387,95,0.5157894736842106,0.5,0.3402777777777778,0.0
sub-003,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,384,100,0.47,0.47,0.4608890245142916,-0.06000000000000005
sub-003,cross_session_train_1-4_test_5,FBCSP-discriminative-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,384,100,0.49,0.49,0.3869455463397043,-0.020000000000000018
sub-003,cross_session_train_1-4_test_5,Stable-FBCSP,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,384,100,0.46,0.46,0.44191814799503926,-0.08000000000000007
sub-004,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,375,100,0.67,0.67,0.648,0.33999999999999997
