subject,protocol,method,lambda_stability,train_sessions,test_session,n_train,n_test,accuracy,balanced_accuracy,macro_f1,kappa
sub-001,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,398,94,0.6276595744680851,0.6213768115942029,0.5884928080050031,0.24575882622650147
sub-001,cross_session_train_1-4_test_5,FBCSP-innerLOSO-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,398,94,0.5957446808510638,0.5905797101449275,0.5675544794188861,0.18298261665141824
sub-001,cross_session_train_1-4_test_5,Stable-FBCSP-V2,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,398,94,0.574468085106383,0.5706521739130435,0.5582706766917294,0.14233576642335766
sub-002,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,387,95,0.5157894736842106,0.5,0.3402777777777778,0.0
sub-002,cross_session_train_1-4_test_5,FBCSP-innerLOSO-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,387,95,0.5684210526315789,0.5563442768411713,0.48621553884711777,0.11537588008176247
sub-002,cross_session_train_1-4_test_5,Stable-FBCSP-V2,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,387,95,0.5263157894736842,0.5108695652173914,0.3639339384020235,0.022410244683283675
sub-003,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,384,100,0.47,0.47,0.4608890245142916,-0.06000000000000005
sub-003,cross_session_train_1-4_test_5,FBCSP-innerLOSO-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,384,100,0.45,0.45,0.44862155388471175,-0.10000000000000009
sub-003,cross_session_train_1-4_test_5,Stable-FBCSP-V2,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,384,100,0.48,0.48,0.38095238095238093,-0.040000000000000036
sub-004,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,375,100,0.67,0.67,0.648,0.33999999999999997
sub-004,cross_session_train_1-4_test_5,FBCSP-innerLOSO-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,375,100,0.58,0.58,0.5442708333333334,0.16000000000000003
sub-004,cross_session_train_1-4_test_5,Stable-FBCSP-V2,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,375,100,0.71,0.71,0.7050147492625369,0.42000000000000004
sub-005,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,386,89,0.47191011235955055,0.4777553083923155,0.4585113268608414,-0.04392313451459939
sub-005,cross_session_train_1-4_test_5,FBCSP-innerLOSO-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,386,89,0.42696629213483145,0.42972699696663297,0.42435003170577046,-0.13959327140346467
sub-005,cross_session_train_1-4_test_5,Stable-FBCSP-V2,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,386,89,0.47191011235955055,0.4769969666329626,0.46213192747846216,-0.04548862784303909
sub-006,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,374,95,0.4842105263157895,0.48203194321206744,0.48052672692779824,-0.036056087246828294
sub-006,cross_session_train_1-4_test_5,FBCSP-innerLOSO-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,374,95,0.5473684210526316,0.5459183673469388,0.545555679163422,0.09202044898866413
sub-006,cross_session_train_1-4_test_5,Stable-FBCSP-V2,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,374,95,0.4631578947368421,0.45896184560780834,0.4512402310567448,-0.08268156424581008
sub-007,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,388,100,0.55,0.55,0.5477841422972565,0.09999999999999998
sub-007,cross_session_train_1-4_test_5,FBCSP-innerLOSO-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,388,100,0.5,0.5,0.46943972835314096,0.0
sub-007,cross_session_train_1-4_test_5,Stable-FBCSP-V2,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,388,100,0.49,0.49,0.4615140956604371,-0.020000000000000018
sub-008,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,379,100,0.52,0.52,0.37629937629937626,0.040000000000000036
sub-008,cross_session_train_1-4_test_5,FBCSP-innerLOSO-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,379,100,0.52,0.52,0.37629937629937626,0.040000000000000036
sub-008,cross_session_train_1-4_test_5,Stable-FBCSP-V2,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,379,100,0.53,0.53,0.39673982800667434,0.06000000000000005
sub-009,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,394,99,0.494949494949495,0.5,0.3310810810810811,0.0
sub-009,cross_session_train_1-4_test_5,FBCSP-innerLOSO-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,394,99,0.48484848484848486,0.483265306122449,0.4710319539025668,-0.03357215967246674
sub-009,cross_session_train_1-4_test_5,Stable-FBCSP-V2,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,394,99,0.48484848484848486,0.483265306122449,0.4710319539025668,-0.03357215967246674
sub-010,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,383,97,0.5051546391752577,0.5102040816326531,0.35333333333333333,0.02020202020202011
sub-010,cross_session_train_1-4_test_5,FBCSP-innerLOSO-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,383,97,0.5051546391752577,0.5102040816326531,0.35333333333333333,0.02020202020202011
sub-010,cross_session_train_1-4_test_5,Stable-FBCSP-V2,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,383,97,0.5051546391752577,0.5102040816326531,0.35333333333333333,0.02020202020202011
sub-011,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,394,100,0.52,0.52,0.4652406417112299,0.040000000000000036
sub-011,cross_session_train_1-4_test_5,FBCSP-innerLOSO-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,394,100,0.52,0.52,0.4285714285714286,0.040000000000000036
sub-011,cross_session_train_1-4_test_5,Stable-FBCSP-V2,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,394,100,0.5,0.5,0.415614773258532,0.0
sub-012,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,375,83,0.4939759036144578,0.4589243498817967,0.4340909090909091,-0.08665835411471323
sub-012,cross_session_train_1-4_test_5,FBCSP-innerLOSO-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,375,83,0.4819277108433735,0.4450354609929078,0.41539721539721536,-0.11635908664372852
sub-012,cross_session_train_1-4_test_5,Stable-FBCSP-V2,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,375,83,0.5421686746987951,0.5014775413711584,0.46794871794871795,0.003160556257901348
sub-013,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,389,100,0.5,0.5,0.3333333333333333,0.0
sub-013,cross_session_train_1-4_test_5,FBCSP-innerLOSO-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,389,100,0.5,0.5,0.3333333333333333,0.0
sub-013,cross_session_train_1-4_test_5,Stable-FBCSP-V2,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,389,100,0.5,0.5,0.3333333333333333,0.0
sub-014,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,379,100,0.51,0.51,0.3551783129359126,0.020000000000000018
sub-014,cross_session_train_1-4_test_5,FBCSP-innerLOSO-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,379,100,0.47,0.47,0.4403970013726111,-0.06000000000000005
sub-014,cross_session_train_1-4_test_5,Stable-FBCSP-V2,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,379,100,0.48,0.48,0.3686255463817387,-0.040000000000000036
sub-015,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,375,98,0.5102040816326531,0.5,0.33783783783783783,0.0
sub-015,cross_session_train_1-4_test_5,FBCSP-innerLOSO-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,375,98,0.5102040816326531,0.5,0.33783783783783783,0.0
sub-015,cross_session_train_1-4_test_5,Stable-FBCSP-V2,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,375,98,0.5102040816326531,0.5,0.33783783783783783,0.0
sub-016,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,395,91,0.4835164835164835,0.49057059961315286,0.46248586150559257,-0.018575851393188847
sub-016,cross_session_train_1-4_test_5,FBCSP-innerLOSO-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,395,91,0.6153846153846154,0.6124274661508704,0.6106832905512773,0.22600243013365728
sub-016,cross_session_train_1-4_test_5,Stable-FBCSP-V2,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,395,91,0.6263736263736264,0.6245164410058027,0.6241496598639455,0.24975751697381188
sub-017,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,398,95,0.49473684210526314,0.5,0.33098591549295775,0.0
sub-017,cross_session_train_1-4_test_5,FBCSP-innerLOSO-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,398,95,0.49473684210526314,0.5,0.33098591549295775,0.0
sub-017,cross_session_train_1-4_test_5,Stable-FBCSP-V2,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,398,95,0.49473684210526314,0.5,0.33098591549295775,0.0
sub-018,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,394,100,0.51,0.51,0.3710691823899371,0.020000000000000018
sub-018,cross_session_train_1-4_test_5,FBCSP-innerLOSO-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,394,100,0.51,0.51,0.3710691823899371,0.020000000000000018
sub-018,cross_session_train_1-4_test_5,Stable-FBCSP-V2,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,394,100,0.51,0.51,0.3710691823899371,0.020000000000000018
sub-019,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,376,93,0.45161290322580644,0.4772727272727273,0.3111111111111111,-0.043105344182977845
sub-019,cross_session_train_1-4_test_5,FBCSP-innerLOSO-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,376,93,0.4731182795698925,0.5,0.32116788321167883,0.0
sub-019,cross_session_train_1-4_test_5,Stable-FBCSP-V2,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,376,93,0.4731182795698925,0.5,0.32116788321167883,0.0
sub-020,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,389,100,0.61,0.61,0.6096486838154338,0.21999999999999997
sub-020,cross_session_train_1-4_test_5,FBCSP-innerLOSO-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,389,100,0.58,0.58,0.5689655172413793,0.16000000000000003
sub-020,cross_session_train_1-4_test_5,Stable-FBCSP-V2,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,389,100,0.58,0.5800000000000001,0.5586380832282472,0.16000000000000003
sub-021,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,386,96,0.5520833333333334,0.5429874077290491,0.43966336364870373,0.08753315649867377
sub-021,cross_session_train_1-4_test_5,FBCSP-innerLOSO-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,386,96,0.5104166666666666,0.5,0.33793103448275863,0.0
sub-021,cross_session_train_1-4_test_5,Stable-FBCSP-V2,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,386,96,0.5104166666666666,0.5,0.33793103448275863,0.0
sub-022,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,387,93,0.5161290322580645,0.5,0.3404255319148936,0.0
sub-022,cross_session_train_1-4_test_5,FBCSP-innerLOSO-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,387,93,0.5161290322580645,0.5,0.3404255319148936,0.0
sub-022,cross_session_train_1-4_test_5,Stable-FBCSP-V2,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,387,93,0.5161290322580645,0.5,0.3404255319148936,0.0
sub-023,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,389,97,0.5051546391752577,0.5,0.3356164383561644,0.0
sub-023,cross_session_train_1-4_test_5,FBCSP-innerLOSO-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,389,97,0.5876288659793815,0.5860969387755102,0.5775261324041812,0.1727078891257996
sub-023,cross_session_train_1-4_test_5,Stable-FBCSP-V2,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,389,97,0.5773195876288659,0.5748299319727891,0.549756594588475,0.15039521469771422
sub-024,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,337,100,0.46,0.46,0.3443419135502671,-0.08000000000000007
sub-024,cross_session_train_1-4_test_5,FBCSP-innerLOSO-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,337,100,0.44,0.44,0.4363929146537842,-0.1200000000000001
sub-024,cross_session_train_1-4_test_5,Stable-FBCSP-V2,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,337,100,0.39,0.39,0.3850186510736969,-0.21999999999999997
sub-025,cross_session_train_1-4_test_5,FBCSP-equal,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,362,100,0.5,0.5,0.3333333333333333,0.0
sub-025,cross_session_train_1-4_test_5,FBCSP-innerLOSO-weighted,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,362,100,0.5,0.5,0.3333333333333333,0.0
sub-025,cross_session_train_1-4_test_5,Stable-FBCSP-V2,0.5,"ses-01,ses-02,ses-03,ses-04",ses-05,362,100,0.57,0.5700000000000001,0.4724573671942093,0.14
