subject,method,lambda_stability,band,mean_score,session_std,weight
sub-001,FBCSP-equal,0.5,4-8Hz,0.5071428571428571,0.01953542047311051,1.0
sub-001,FBCSP-equal,0.5,8-12Hz,0.5235714285714286,0.03333862584667281,1.0
sub-001,FBCSP-equal,0.5,12-16Hz,0.5025,0.014790199457749054,1.0
sub-001,FBCSP-equal,0.5,16-20Hz,0.5148979591836734,0.04014680474037926,1.0
sub-001,FBCSP-equal,0.5,20-24Hz,0.4786734693877551,0.0039795918367347,1.0
sub-001,FBCSP-equal,0.5,24-28Hz,0.48989795918367346,0.012338502768256205,1.0
sub-001,FBCSP-equal,0.5,28-32Hz,0.5039795918367347,0.032973712599820744,1.0
sub-001,FBCSP-equal,0.5,32-36Hz,0.49729591836734693,0.017238179466529606,1.0
sub-001,FBCSP-equal,0.5,36-40Hz,0.5041326530612245,0.021599596904162917,1.0
sub-001,FBCSP-innerLOSO-weighted,0.5,4-8Hz,0.5071428571428571,0.01953542047311051,0.10320461201231493
sub-001,FBCSP-innerLOSO-weighted,0.5,8-12Hz,0.5235714285714286,0.03333862584667281,0.38937593208440785
sub-001,FBCSP-innerLOSO-weighted,0.5,12-16Hz,0.5025,0.014790199457749054,0.07091321075950599
sub-001,FBCSP-innerLOSO-weighted,0.5,16-20Hz,0.5148979591836734,0.04014680474037926,0.19315946729822683
sub-001,FBCSP-innerLOSO-weighted,0.5,20-24Hz,0.4786734693877551,0.0039795918367347,0.01033657266852261
sub-001,FBCSP-innerLOSO-weighted,0.5,24-28Hz,0.48989795918367346,0.012338502768256205,0.025607943181609374
sub-001,FBCSP-innerLOSO-weighted,0.5,28-32Hz,0.5039795918367347,0.032973712599820744,0.07992143394109769
sub-001,FBCSP-innerLOSO-weighted,0.5,32-36Hz,0.49729591836734693,0.017238179466529606,0.04656453675423919
sub-001,FBCSP-innerLOSO-weighted,0.5,36-40Hz,0.5041326530612245,0.021599596904162917,0.08091629130007552
sub-001,Stable-FBCSP-V2,0.5,4-8Hz,0.5071428571428571,0.01953542047311051,0.14764937089331187
sub-001,Stable-FBCSP-V2,0.5,8-12Hz,0.5235714285714286,0.03333862584667281,0.29639918889233585
sub-001,Stable-FBCSP-V2,0.5,12-16Hz,0.5025,0.014790199457749054,0.1260268048782783
sub-001,Stable-FBCSP-V2,0.5,16-20Hz,0.5148979591836734,0.04014680474037926,0.10771254416655146
sub-001,Stable-FBCSP-V2,0.5,20-24Hz,0.4786734693877551,0.0039795918367347,0.030111136573079473
sub-001,Stable-FBCSP-V2,0.5,24-28Hz,0.48989795918367346,0.012338502768256205,0.05090754484139594
sub-001,Stable-FBCSP-V2,0.5,28-32Hz,0.5039795918367347,0.032973712599820744,0.061860798424708215
sub-001,Stable-FBCSP-V2,0.5,32-36Hz,0.49729591836734693,0.017238179466529606,0.07399343157332765
sub-001,Stable-FBCSP-V2,0.5,36-40Hz,0.5041326530612245,0.021599596904162917,0.10533917975701121
sub-002,FBCSP-equal,0.5,4-8Hz,0.5592372541148133,0.057285479015973244,1.0
sub-002,FBCSP-equal,0.5,8-12Hz,0.49854717017494865,0.009755264347908054,1.0
sub-002,FBCSP-equal,0.5,12-16Hz,0.4902761353917582,0.00837187133987252,1.0
sub-002,FBCSP-equal,0.5,16-20Hz,0.5332248176769704,0.03373185403689038,1.0
sub-002,FBCSP-equal,0.5,20-24Hz,0.5379606583701325,0.05911049321435775,1.0
sub-002,FBCSP-equal,0.5,24-28Hz,0.5053693295865114,0.00536979854407261,1.0
sub-002,FBCSP-equal,0.5,28-32Hz,0.508036540240518,0.004640859163628687,1.0
sub-002,FBCSP-equal,0.5,32-36Hz,0.513353280141844,0.013851839538563827,1.0
sub-002,FBCSP-equal,0.5,36-40Hz,0.5053191489361701,0.005319148936170193,1.0
sub-002,FBCSP-innerLOSO-weighted,0.5,4-8Hz,0.5592372541148133,0.057285479015973244,0.4797191901158389
sub-002,FBCSP-innerLOSO-weighted,0.5,8-12Hz,0.49854717017494865,0.009755264347908054,0.026051990524587322
sub-002,FBCSP-innerLOSO-weighted,0.5,12-16Hz,0.4902761353917582,0.00837187133987252,0.01751551157869069
sub-002,FBCSP-innerLOSO-weighted,0.5,16-20Hz,0.5332248176769704,0.03373185403689038,0.13763584258564687
sub-002,FBCSP-innerLOSO-weighted,0.5,20-24Hz,0.5379606583701325,0.05911049321435775,0.1727646699667328
sub-002,FBCSP-innerLOSO-weighted,0.5,24-28Hz,0.5053693295865114,0.00536979854407261,0.03614562380533934
sub-002,FBCSP-innerLOSO-weighted,0.5,28-32Hz,0.508036540240518,0.004640859163628687,0.041082458753161744
