subject,method,lambda_stability,band,mean_score,session_std,weight
sub-001,FBCSP-equal,0.5,4-8Hz,0.53,0.033166247903554026,1.0
sub-001,FBCSP-equal,0.5,8-12Hz,0.535,0.021794494717703387,1.0
sub-001,FBCSP-equal,0.5,12-16Hz,0.56,0.05099019513592786,1.0
sub-001,FBCSP-equal,0.5,16-20Hz,0.515,0.016583123951777013,1.0
sub-001,FBCSP-equal,0.5,20-24Hz,0.53,0.04999999999999999,1.0
sub-001,FBCSP-equal,0.5,24-28Hz,0.53,0.09848857801796103,1.0
sub-001,FBCSP-equal,0.5,28-32Hz,0.54,0.07348469228349536,1.0
sub-001,FBCSP-equal,0.5,32-36Hz,0.54,0.05656854249492379,1.0
sub-001,FBCSP-equal,0.5,36-40Hz,0.49,0.05,1.0
sub-001,FBCSP-discriminative-weighted,0.5,4-8Hz,0.53,0.033166247903554026,0.07362186992163658
sub-001,FBCSP-discriminative-weighted,0.5,8-12Hz,0.535,0.021794494717703387,0.09703915071001598
sub-001,FBCSP-discriminative-weighted,0.5,12-16Hz,0.56,0.05099019513592786,0.38605368476151475
sub-001,FBCSP-discriminative-weighted,0.5,16-20Hz,0.515,0.016583123951777013,0.03215040253589053
sub-001,FBCSP-discriminative-weighted,0.5,20-24Hz,0.53,0.04999999999999999,0.07362186992163658
sub-001,FBCSP-discriminative-weighted,0.5,24-28Hz,0.53,0.09848857801796103,0.07362186992163658
sub-001,FBCSP-discriminative-weighted,0.5,28-32Hz,0.54,0.07348469228349536,0.12790488452064935
sub-001,FBCSP-discriminative-weighted,0.5,32-36Hz,0.54,0.05656854249492379,0.12790488452064935
sub-001,FBCSP-discriminative-weighted,0.5,36-40Hz,0.49,0.05,0.008081383186370186
sub-001,Stable-FBCSP,0.5,4-8Hz,0.53,0.033166247903554026,0.1025711742075957
sub-001,Stable-FBCSP,0.5,8-12Hz,0.535,0.021794494717703387,0.17150284665330612
sub-001,Stable-FBCSP,0.5,12-16Hz,0.56,0.05099019513592786,0.37046385038825064
sub-001,Stable-FBCSP,0.5,16-20Hz,0.515,0.016583123951777013,0.06336553101318224
sub-001,Stable-FBCSP,0.5,20-24Hz,0.53,0.04999999999999999,0.07212740935091057
sub-001,Stable-FBCSP,0.5,24-28Hz,0.53,0.09848857801796103,0.026158291902864454
sub-001,Stable-FBCSP,0.5,28-32Hz,0.54,0.07348469228349536,0.07667179746677852
sub-001,Stable-FBCSP,0.5,32-36Hz,0.54,0.05656854249492379,0.1092217609513262
sub-001,Stable-FBCSP,0.5,36-40Hz,0.49,0.05,0.007917338065785587
sub-002,FBCSP-equal,0.5,4-8Hz,0.5937409420289854,0.1460105039890145,1.0
sub-002,FBCSP-equal,0.5,8-12Hz,0.4892129629629629,0.022436610523195056,1.0
sub-002,FBCSP-equal,0.5,12-16Hz,0.4842954911433172,0.07114547923500648,1.0
sub-002,FBCSP-equal,0.5,16-20Hz,0.5031994766505636,0.05068071988940383,1.0
sub-002,FBCSP-equal,0.5,20-24Hz,0.555481078904992,0.04959595740946168,1.0
sub-002,FBCSP-equal,0.5,24-28Hz,0.5703190418679549,0.06550886793042549,1.0
sub-002,FBCSP-equal,0.5,28-32Hz,0.5189070048309179,0.014453301525282963,1.0
sub-002,FBCSP-equal,0.5,32-36Hz,0.5956924315619968,0.06703157862996983,1.0
sub-002,FBCSP-equal,0.5,36-40Hz,0.546286231884058,0.035555622731341475,1.0
sub-002,FBCSP-discriminative-weighted,0.5,4-8Hz,0.5937409420289854,0.1460105039890145,0.26953852388685795
sub-002,FBCSP-discriminative-weighted,0.5,8-12Hz,0.4892129629629629,0.022436610523195056,0.020237992670790777
sub-002,FBCSP-discriminative-weighted,0.5,12-16Hz,0.4842954911433172,0.07114547923500648,0.017917112833361358
sub-002,FBCSP-discriminative-weighted,0.5,16-20Hz,0.5031994766505636,0.05068071988940383,0.028617158516926238
sub-002,FBCSP-discriminative-weighted,0.5,20-24Hz,0.555481078904992,0.04959595740946168,0.10448228997797745
sub-002,FBCSP-discriminative-weighted,0.5,24-28Hz,0.5703190418679549,0.06550886793042549,0.15089024773730916
sub-002,FBCSP-discriminative-weighted,0.5,28-32Hz,0.5189070048309179,0.014453301525282963,0.04222788141952178
sub-002,FBCSP-discriminative-weighted,0.5,32-36Hz,0.5956924315619968,0.06703157862996983,0.282887577259197
sub-002,FBCSP-discriminative-weighted,0.5,36-40Hz,0.546286231884058,0.035555622731341475,0.08320121569805837
sub-002,Stable-FBCSP,0.5,4-8Hz,0.5937409420289854,0.1460105039890145,0.09392123010451858
sub-002,Stable-FBCSP,0.5,8-12Hz,0.4892129629629629,0.022436610523195056,0.03872183773202218
sub-002,Stable-FBCSP,0.5,12-16Hz,0.4842954911433172,0.07114547923500648,0.01751910689185836
sub-002,Stable-FBCSP,0.5,16-20Hz,0.5031994766505636,0.05068071988940383,0.03709892081380081
sub-002,Stable-FBCSP,0.5,20-24Hz,0.555481078904992,0.04959595740946168,0.13748972508277693
sub-002,Stable-FBCSP,0.5,24-28Hz,0.5703190418679549,0.06550886793042549,0.15945669978239754
sub-002,Stable-FBCSP,0.5,28-32Hz,0.5189070048309179,0.014453301525282963,0.09019272988567564
sub-002,Stable-FBCSP,0.5,32-36Hz,0.5956924315619968,0.06703157862996983,0.2927395253794658
sub-002,Stable-FBCSP,0.5,36-40Hz,0.546286231884058,0.035555622731341475,0.13286022432748418
sub-003,FBCSP-equal,0.5,4-8Hz,0.49120965085639,0.046873081263533053,1.0
sub-003,FBCSP-equal,0.5,8-12Hz,0.4960581357048749,0.04872317719637858,1.0
sub-003,FBCSP-equal,0.5,12-16Hz,0.5019482872200264,0.040647488634019624,1.0
sub-003,FBCSP-equal,0.5,16-20Hz,0.4754331357048749,0.06992229842775938,1.0
sub-003,FBCSP-equal,0.5,20-24Hz,0.5148254281949934,0.09412366695059886,1.0
sub-003,FBCSP-equal,0.5,24-28Hz,0.5473443675889328,0.07680557840305802,1.0
sub-003,FBCSP-equal,0.5,28-32Hz,0.46552783267457176,0.027051605854538266,1.0
sub-003,FBCSP-equal,0.5,32-36Hz,0.4724398880105402,0.028419734251032065,1.0
sub-003,FBCSP-equal,0.5,36-40Hz,0.4749950592885376,0.07740333954462791,1.0
sub-003,FBCSP-discriminative-weighted,0.5,4-8Hz,0.49120965085639,0.046873081263533053,0.054649280279701784
sub-003,FBCSP-discriminative-weighted,0.5,8-12Hz,0.4960581357048749,0.04872317719637858,0.06669563513856513
sub-003,FBCSP-discriminative-weighted,0.5,12-16Hz,0.5019482872200264,0.040647488634019624,0.08495660492493579
sub-003,FBCSP-discriminative-weighted,0.5,16-20Hz,0.4754331357048749,0.06992229842775938,0.028581128087081895
sub-003,FBCSP-discriminative-weighted,0.5,20-24Hz,0.5148254281949934,0.09412366695059886,0.14420085257836326
sub-003,FBCSP-discriminative-weighted,0.5,24-28Hz,0.5473443675889328,0.07680557840305802,0.5485459261650807
sub-003,FBCSP-discriminative-weighted,0.5,28-32Hz,0.46552783267457176,0.027051605854538266,0.019025500058132964
sub-003,FBCSP-discriminative-weighted,0.5,32-36Hz,0.4724398880105402,0.028419734251032065,0.025273765521859736
