subject,method,lambda_stability,band,mean_score,session_std,weight
sub-001,FBCSP-equal,1.0,4-8Hz,0.53,0.033166247903554026,1.0
sub-001,FBCSP-equal,1.0,8-12Hz,0.535,0.021794494717703387,1.0
sub-001,FBCSP-equal,1.0,12-16Hz,0.56,0.05099019513592786,1.0
sub-001,FBCSP-equal,1.0,16-20Hz,0.515,0.016583123951777013,1.0
sub-001,FBCSP-equal,1.0,20-24Hz,0.53,0.04999999999999999,1.0
sub-001,FBCSP-equal,1.0,24-28Hz,0.53,0.09848857801796103,1.0
sub-001,FBCSP-equal,1.0,28-32Hz,0.54,0.07348469228349536,1.0
sub-001,FBCSP-equal,1.0,32-36Hz,0.54,0.05656854249492379,1.0
sub-001,FBCSP-equal,1.0,36-40Hz,0.49,0.05,1.0
sub-001,FBCSP-discriminative-weighted,1.0,4-8Hz,0.53,0.033166247903554026,0.07362186992163658
sub-001,FBCSP-discriminative-weighted,1.0,8-12Hz,0.535,0.021794494717703387,0.09703915071001598
sub-001,FBCSP-discriminative-weighted,1.0,12-16Hz,0.56,0.05099019513592786,0.38605368476151475
sub-001,FBCSP-discriminative-weighted,1.0,16-20Hz,0.515,0.016583123951777013,0.03215040253589053
sub-001,FBCSP-discriminative-weighted,1.0,20-24Hz,0.53,0.04999999999999999,0.07362186992163658
sub-001,FBCSP-discriminative-weighted,1.0,24-28Hz,0.53,0.09848857801796103,0.07362186992163658
sub-001,FBCSP-discriminative-weighted,1.0,28-32Hz,0.54,0.07348469228349536,0.12790488452064935
sub-001,FBCSP-discriminative-weighted,1.0,32-36Hz,0.54,0.05656854249492379,0.12790488452064935
sub-001,FBCSP-discriminative-weighted,1.0,36-40Hz,0.49,0.05,0.008081383186370186
sub-001,Stable-FBCSP,1.0,4-8Hz,0.53,0.033166247903554026,0.1239038774870096
sub-001,Stable-FBCSP,1.0,8-12Hz,0.535,0.021794494717703387,0.2628069015551399
sub-001,Stable-FBCSP,1.0,12-16Hz,0.56,0.05099019513592786,0.30823720458818743
sub-001,Stable-FBCSP,1.0,16-20Hz,0.515,0.016583123951777013,0.1082831371355755
sub-001,Stable-FBCSP,1.0,20-24Hz,0.53,0.04999999999999999,0.06126817022498569
sub-001,Stable-FBCSP,1.0,24-28Hz,0.53,0.09848857801796103,0.008058477667257653
sub-001,Stable-FBCSP,1.0,28-32Hz,0.54,0.07348469228349536,0.039849717473137876
sub-001,Stable-FBCSP,1.0,32-36Hz,0.54,0.05656854249492379,0.08086718128420545
sub-001,Stable-FBCSP,1.0,36-40Hz,0.49,0.05,0.006725332584500847
sub-002,FBCSP-equal,1.0,4-8Hz,0.5937409420289854,0.1460105039890145,1.0
sub-002,FBCSP-equal,1.0,8-12Hz,0.4892129629629629,0.022436610523195056,1.0
sub-002,FBCSP-equal,1.0,12-16Hz,0.4842954911433172,0.07114547923500648,1.0
sub-002,FBCSP-equal,1.0,16-20Hz,0.5031994766505636,0.05068071988940383,1.0
sub-002,FBCSP-equal,1.0,20-24Hz,0.555481078904992,0.04959595740946168,1.0
sub-002,FBCSP-equal,1.0,24-28Hz,0.5703190418679549,0.06550886793042549,1.0
